SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationID,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationID,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,DataAsOf
2024-25,School,Adams,Educational Service District 101,100001,1109,Washtucna School District,100287,3075,Washtucna Elementary/High School,100326,P,All Grades,71,36,0,35,0,0,0,8,0,3,60,0,0,0,3,51,0,0,1,0,15,71,0,71,68,20,71,71,70,71,56,1/6/25 0:00
2024-25,School,Adams,Educational Service District 101,100001,1122,Benge School District,100021,3142,Benge Elementary,100329,P,All Grades,14,6,0,8,0,0,0,2,0,0,12,0,0,0,1,0,0,0,0,0,0,14,0,14,13,14,14,14,14,14,14,1/6/25 0:00
2024-25,School,Adams,Educational Service District 101,100001,1158,Lind School District,100131,2903,Lind-Ritzville High School,100337,P,All Grades,47,25,0,22,0,0,0,24,0,2,21,5,0,0,2,40,13,0,1,0,3,42,0,47,45,7,34,47,46,47,44,1/6/25 0:00
2024-25,School,Adams,Educational Service District 101,100001,1158,Lind School District,100131,3421,Lind Elementary School,100338,P,All Grades,82,38,0,44,0,0,0,34,0,0,48,8,0,0,16,55,10,0,2,0,7,74,0,82,66,27,72,82,80,82,75,1/6/25 0:00
2024-25,School,Adams,Educational Service District 101,100001,1158,Lind School District,100131,5293,Lind-Ritzville Middle School,105541,P,All Grades,41,24,0,17,0,2,0,13,0,1,25,8,0,0,1,30,6,0,0,0,6,33,0,41,40,11,35,41,41,41,35,1/6/25 0:00
2024-25,School,Adams,Educational Service District 101,100001,1160,Ritzville School District,100220,2132,Ritzville High School,100340,P,All Grades,133,66,0,67,2,0,0,18,0,3,110,0,0,0,4,53,0,4,3,1,11,133,0,133,129,80,133,129,130,132,122,1/6/25 0:00
2024-25,School,Adams,Educational Service District 101,100001,1160,Ritzville School District,100220,2719,Ritzville Grade School,100341,P,All Grades,193,100,0,93,1,3,0,23,0,4,162,1,0,5,9,112,1,5,4,1,30,192,0,188,184,81,192,188,189,192,163,1/6/25 0:00
2024-25,School,Adams,Educational Service District 101,100001,1160,Ritzville School District,100220,5303,Lind Ritzville Middle School,105556,P,All Grades,89,45,0,44,1,0,0,20,0,3,65,1,0,3,2,38,1,1,2,0,13,88,0,86,87,51,88,88,87,89,76,1/6/25 0:00
2024-25,School,Adams,Educational Service District 123,100007,1147,Othello School District,100192,2902,Lutacaga Elementary,100331,P,All Grades,541,277,0,264,0,0,1,521,1,2,16,330,0,22,0,447,59,1,10,16,35,211,0,519,541,94,482,540,531,525,506,1/6/25 0:00
2024-25,School,Adams,Educational Service District 123,100007,1147,Othello School District,100192,2961,Hiawatha Elementary School,100332,P,All Grades,579,273,0,306,0,1,2,519,0,5,52,347,0,14,5,491,76,2,3,24,57,232,0,565,574,88,503,577,576,555,522,1/6/25 0:00
